title,url,source,date,content
Delta flight turns back after maggots fall on passengers from overhead bin,https://www.theguardian.com/world/2024/feb/15/delta-flight-maggots,Guardian,2024-02-15T13:28:56Z,
Hezbollah vows to retaliate for civilian deaths in Israeli airstrikes on Lebanon,https://www.theguardian.com/world/2024/feb/15/hezbollah-vows-to-retaliate-for-civilian-deaths-in-israeli-airstrikes-on-lebanon,Guardian,2024-02-15T13:23:49Z,
Ethnic minorities in England have worse access to GPs,https://www.theguardian.com/society/2024/feb/15/ethnic-minorities-in-england-have-worse-access-to-gps,Guardian,2024-02-15T13:23:38Z,
Woman told to leave UK despite court ruling she has right to live with family,https://www.theguardian.com/uk-news/2024/feb/15/woman-told-leave-uk-court-ruling-right-live-family-malwattege-peiris,Guardian,2024-02-15T13:13:24Z,
Italy announces inquiry into its handling of Covid-19 pandemic,https://www.theguardian.com/world/2024/feb/15/italy-announces-inquiry-into-its-handling-of-covid-19-pandemic,Guardian,2024-02-15T13:11:08Z,
Roy Hodgson in hospital as Crystal Palace prepare to replace him with Glasner,https://www.theguardian.com/football/2024/feb/15/crystal-palace-roy-hodgson-oliver-glasner-manager,Guardian,2024-02-15T13:03:43Z,
Four-month-old baby boy dies after vehicle collision in Leeds,https://www.theguardian.com/uk-news/2024/feb/15/four-month-old-baby-boy-dies-after-vehicle-collision-in-leeds,Guardian,2024-02-15T13:01:37Z,
Blue cards in football would be a backward step for the game | Karen Carney,https://www.theguardian.com/football/2024/feb/15/blue-cards-in-football-would-be-a-backward-step-for-the-game,Guardian,2024-02-15T13:00:14Z,
Fani Willis: what is the Georgia Trump prosecutor’s hearing about?,https://www.theguardian.com/us-news/2024/feb/02/fani-willis-relationship-trump-georgia-case-explainer,Guardian,2024-02-15T12:58:34Z,
"In Rafah, we sit in flimsy tents as the bombs fall. There is no escape: we can only wait for the worst | Bahzad Al-Akhras",https://www.theguardian.com/commentisfree/2024/feb/15/rafah-gaza-israel-airstrikes-war,Guardian,2024-02-15T12:57:51Z,
"Champions League team of the week: Foden, Mbappé and Isaksen shine",https://www.theguardian.com/football/2024/feb/15/champions-league-team-of-the-week-foden-mbappe-and-isaksen-shine,Guardian,2024-02-15T12:54:50Z,
"EU policies partly to blame for 3,000 deaths in Mediterranean last year, say rights groups",https://www.theguardian.com/global-development/2024/feb/15/eu-policies-partly-to-blame-for-3000-deaths-in-mediterranean-last-year-say-rights-groups,Guardian,2024-02-15T12:49:38Z,
Dining across the divide: ‘It seemed he was on the verge of being a communist. Communism hasn’t worked anywhere’,https://www.theguardian.com/lifeandstyle/2024/feb/15/dining-across-the-divide-rupam-giles,Guardian,2024-02-15T12:30:14Z,
Why the events of today could decide two Trump criminal cases,https://www.theguardian.com/us-news/2024/feb/15/why-today-could-decide-two-trump-criminal-cases,Guardian,2024-02-15T12:29:12Z,
